date,away_team,home_team,away_team_score,home_team_score
20191022,NOP,TOR,122,130
20191022,LAL,LAC,102,112
20191023,CHI,CHA,125,126
20191023,DET,IND,119,110
20191023,CLE,ORL,85,94
20191023,MIN,BKN,127,126
20191023,MEM,MIA,101,120
20191023,BOS,PHI,93,107
20191023,WAS,DAL,100,108
20191023,NYK,SAS,111,120
20191023,OKC,UTA,95,100
20191023,SAC,PHX,95,124
20191023,DEN,POR,108,100
20191024,ATL,DET,117,100
20191024,MIL,HOU,117,111
20191024,LAC,GSW,141,122
20191025,TOR,BOS,106,112
20191025,MIN,CHA,121,99
20191025,NYK,BKN,109,113
20191025,CHI,MEM,110,102
20191025,DAL,NOP,123,116
20191025,WAS,OKC,97,85
20191025,PHX,DEN,107,108
20191025,POR,SAC,122,112
20191025,UTA,LAL,86,95
20191026,MIA,MIL,131,126
20191026,PHI,DET,117,111
20191026,ORL,ATL,99,103
20191026,BOS,NYK,118,95
20191026,IND,CLE,99,110
20191026,TOR,CHI,108,84
20191026,NOP,HOU,123,126
20191026,WAS,SAS,122,124
20191026,SAC,UTA,81,113
20191026,LAC,PHX,122,130
20191027,GSW,OKC,92,120
20191027,BKN,MEM,133,134
20191027,POR,DAL,121,119
20191027,MIA,MIN,109,116
20191027,CHA,LAL,101,120
20191028,IND,DET,94,96
20191028,CHI,NYK,98,105
20191028,PHI,ATL,105,103
20191028,ORL,TOR,95,104
20191028,OKC,HOU,112,116
20191028,CLE,MIL,112,129
20191028,GSW,NOP,134,123
20191028,POR,SAS,110,113
20191028,UTA,PHX,96,95
20191028,DEN,SAC,101,94
20191028,CHA,LAC,96,111
20191029,ATL,MIA,97,112
20191029,DAL,DEN,109,106
20191029,MEM,LAL,91,120
20191030,CHI,CLE,111,117
20191030,NYK,ORL,83,95
20191030,MIN,PHI,95,117
20191030,MIL,BOS,105,116
20191030,IND,BKN,118,108
20191030,DET,TOR,113,125
20191030,HOU,WAS,159,158
20191030,POR,OKC,102,99
20191030,LAC,UTA,96,110
20191030,CHA,SAC,118,111
20191030,PHX,GSW,121,110
20191031,MIA,ATL,106,97
20191031,DEN,NOP,107,122
20191031,SAS,LAC,97,103
20191101,HOU,BKN,116,123
20191101,CLE,IND,95,102
20191101,MIL,ORL,123,91
20191101,NYK,BOS,102,104
20191101,DET,CHI,106,112
20191101,LAL,DAL,119,110
20191101,UTA,SAC,101,102
20191101,SAS,GSW,127,110
20191102,NOP,OKC,104,115
20191102,BKN,DET,109,113
20191102,DEN,ORL,91,87
20191102,MIN,WAS,131,109
20191102,PHX,MEM,114,105
20191102,TOR,MIL,105,115
20191102,CHA,GSW,93,87
20191102,PHI,POR,129,128
20191103,CHI,IND,95,108
20191103,HOU,MIA,100,129
20191103,SAC,NYK,113,92
20191103,LAL,SAS,103,96
20191103,DAL,CLE,131,111
20191103,UTA,LAC,94,105
20191104,DET,WAS,99,115
20191104,NOP,BKN,125,135
20191104,HOU,MEM,107,100
20191104,MIL,MIN,134,106
20191104,PHI,PHX,109,114
20191104,POR,GSW,118,127
20191105,IND,CHA,120,122
20191105,BOS,CLE,119,113
20191105,SAS,ATL,100,108
20191105,LAL,CHI,118,112
20191105,ORL,OKC,94,102
20191105,MIA,DEN,89,109
20191106,NYK,DET,102,122
20191106,WAS,IND,106,121
20191106,CHI,ATL,113,93
20191106,SAC,TOR,120,124
20191106,GSW,HOU,112,129
20191106,MIN,MEM,121,137
20191106,ORL,DAL,106,107
20191106,PHI,UTA,104,106
20191106,MIL,LAC,129,124
20191107,BOS,CHA,108,87
20191107,OKC,SAS,112,121
20191107,MIA,PHX,124,108
20191107,POR,LAC,101,107
20191108,DET,IND,106,112
20191108,MEM,ORL,86,118
20191108,CLE,WAS,113,100
20191108,SAC,ATL,121,109
20191108,GSW,MIN,119,125
20191108,TOR,NOP,122,104
20191108,NYK,DAL,106,102
20191108,PHI,DEN,97,100
20191108,MIL,UTA,100,103
20191108,BKN,POR,119,115
20191108,MIA,LAL,80,95
20191109,BOS,SAS,135,115
20191109,NOP,CHA,115,110
20191109,HOU,CHI,117,94
20191109,DAL,MEM,138,122
20191109,GSW,OKC,108,114
20191110,DEN,MIN,100,98
20191110,IND,ORL,109,102
20191110,CHA,PHI,106,114
20191110,MIL,OKC,121,119
20191110,CLE,NYK,108,87
20191110,BKN,PHX,112,138
20191110,ATL,POR,113,124
20191110,TOR,LAL,113,104
20191111,MIN,DET,120,114
20191111,DAL,BOS,106,116
20191111,MEM,SAS,113,109
20191111,HOU,NOP,122,116
20191111,UTA,GSW,122,108
20191111,TOR,LAC,88,98
20191112,OKC,IND,85,111
20191112,CLE,PHI,97,98
20191112,DET,MIA,108,117
20191112,NYK,CHI,102,120
20191112,ATL,DEN,125,121
20191112,LAL,PHX,123,115
20191112,BKN,UTA,114,119
20191112,POR,SAC,99,107
20191113,MEM,CHA,119,117
20191113,PHI,ORL,97,112
20191113,WAS,BOS,133,140
20191113,LAC,HOU,93,102
20191113,SAS,MIN,114,129
20191113,GSW,LAL,94,120
20191113,TOR,POR,114,106
20191114,MIA,CLE,108,97
20191114,DAL,NYK,103,106
20191114,CHI,MIL,115,124
20191114,LAC,NOP,127,132
20191114,ATL,PHX,112,128
20191114,BKN,DEN,93,101
20191115,DET,CHA,106,109
20191115,SAS,ORL,109,111
20191115,IND,HOU,102,111
20191115,UTA,MEM,106,107
20191115,WAS,MIN,137,116
20191115,PHI,OKC,119,127
